afdc_ra,badenglh,emp,expstat,fdst_ra,ged,kids,kidsud4,longafdc,married,minor02,minor03,minor04,neveradc,neverful,neverwrk,nodegree,single,numinhh,schlhgst,agesq,pre12ern,pre12wrk,bifid,age,caltime,site,treated
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,17,1560,1741,0,100322,40,17,8,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,9,1980,3780,1,100326,45,17,8,0
0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,5,12,992,8000,1,100328,32,17,8,0
0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,12,1332,5677,0,100330,37,17,8,1
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,9,812,5730,1,100362,29,36,8,1
0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,4,8,1056,2600,0,100368,33,18,8,1
1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,12,1122,3500,1,100372,34,19,8,1
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,12,930,0,0,100398,31,29,13,0
1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,6,10,756,421,0,100410,28,20,13,1
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,12,1560,,,100415,40,20,13,0
,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,13,870,7200,1,100460,30,36,8,1
0,0,0,1,0,1,1,0,0,,0,0,0,0,0,0,1,,6,10,1190,6000,0,100515,35,19,3,1
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,11,756,5000,1,100540,28,18,3,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,8,1260,9,0,100549,36,18,3,0
0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,12,1122,300,0,100564,34,18,3,0
0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,12,3080,1200,0,100565,56,18,3,1
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,13,600,7760,1,100572,25,19,3,1
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,8,3540,0,0,100580,60,18,3,0
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,12,600,98,1,100581,25,18,3,1
1,0,0,1,,0,1,1,1,0,0,0,0,0,0,1,1,0,6,8,1190,,0,100583,35,20,3,0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,8,1260,300,0,100588,36,18,3,1
1,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,,4,12,756,,1,100614,28,19,3,0
0,0,1,1,0,,1,0,0,0,0,0,0,1,0,0,1,0,3,12,1056,5400,1,100615,33,19,3,1
1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,4,10,992,,,100634,32,18,3,0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,4,10,650,102,0,100683,26,26,3,1
,0,1,0,,,1,0,0,0,0,0,0,1,0,0,,0,1,12,2450,,0,100693,50,25,3,0
0,0,0,1,0,0,1,,1,0,0,0,0,0,0,0,1,0,7,9,1806,,0,100707,43,25,3,0
1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,5,12,1056,0,0,100711,33,26,3,1
0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,5,8,870,0,0,100739,30,26,3,1
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,12,992,8600,1,100740,32,26,3,1
0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,12,702,3000,1,100741,27,25,3,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,14,1332,,1,100748,37,26,3,1
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,12,2256,6000,1,100753,48,26,3,0
1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,12,1260,0,0,100755,36,26,3,0
0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,5,10,930,0,0,100759,31,26,3,1
0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,5,12,1722,100,,100831,42,19,7,1
1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,3,12,756,0,0,100875,28,25,7,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,12,1406,2128,0,101029,38,19,7,1
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,9,2756,5000,1,102091,53,18,9,1
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4,10,1122,444,0,102160,34,17,9,0
0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,6,12,552,3296,0,102172,24,17,9,0
1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,5,11,2352,165,0,102173,49,18,9,1
1,0,0,0,1,,1,0,1,,1,0,0,0,0,1,1,,2,14,812,,0,102174,29,30,14,0
0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,14,1640,0,0,102184,41,32,14,1
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,11,1190,825,0,102221,35,17,9,1
0,0,0,0,0,,,,0,1,0,0,0,0,0,0,1,0,4,12,930,0,0,102280,31,17,9,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,12,600,0,0,102284,25,18,9,0
,0,1,1,,0,,,1,0,1,0,0,0,0,0,0,1,4,12,702,,,102303,27,18,9,1
0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,5,9,870,310,1,102332,30,19,9,0
0,0,1,1,1,1,,,1,0,1,0,0,0,1,0,1,0,3,10,2162,0,0,102362,47,19,9,1
1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4,8,870,1120,0,102375,30,17,9,1
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,3,12,756,2000,1,102515,28,23,9,1
1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,12,702,,,102556,27,21,9,1
1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,3,11,650,,,102557,26,21,9,0
,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,3,9,756,,,102591,28,22,9,0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,1056,,1,102596,33,21,9,1
1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,3,12,650,,,102651,26,22,9,0
0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,2,9,992,6000,1,102674,32,20,9,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,12,1482,3000,0,102676,39,20,9,1
1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,3,8,650,0,0,102681,26,20,9,0
,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,12,1260,,0,102713,36,20,9,1
1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,2,9,1640,,,102722,41,21,9,0
0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3,8,2862,4848,1,102752,54,22,9,0
1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,12,870,3960,0,102755,30,20,9,1
1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,3,12,756,,,102778,28,23,9,1
,0,0,1,,0,,,1,0,1,0,0,0,0,0,1,1,3,7,992,,,102781,32,22,9,1
1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,3,9,1980,2400,0,102869,45,17,9,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,12,2652,1012,0,102870,52,17,9,0
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,10,2970,,1,102886,55,22,9,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,1056,4680,1,102936,33,19,9,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,12,600,9749,0,102959,25,23,9,0
0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,3,12,812,9100,1,102979,29,20,9,1
0,0,1,1,,0,0,0,0,0,1,0,0,1,1,0,0,0,1,12,812,408,0,103011,29,18,9,1
,0,1,0,,1,,,1,0,1,0,0,0,1,0,1,1,3,10,930,0,0,103012,31,18,9,0
1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,12,552,1725,0,103020,24,19,9,0
1,0,0,1,1,0,1,0,0,,1,0,0,0,0,0,0,,3,13,1806,15000,0,103028,43,19,9,1
,0,0,1,1,1,,,1,0,1,0,0,0,0,1,1,1,3,9,600,,0,103043,25,23,9,1
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,13,1640,2921,0,103062,41,19,9,1
0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,12,870,2232,0,103063,30,19,9,1
1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,13,930,5670,0,103064,31,19,9,1
0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,6,12,992,,0,103096,32,17,6,1
1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,4,8,1332,,0,103099,37,17,6,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,7,12,702,3000,1,103100,27,17,6,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,12,650,3000,0,103136,26,17,6,0
1,0,0,0,0,0,1,1,1,,0,1,0,0,0,1,0,,2,12,992,,0,103140,32,18,6,0
1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,3,11,756,0,0,103155,28,17,6,1
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,3,8,812,,0,103157,29,17,6,0
0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,12,600,3840,0,103167,25,18,6,1
0,0,1,1,,0,0,0,0,0,1,0,0,1,0,0,1,0,1,10,870,1870,,103172,30,17,6,0
0,0,1,0,0,,0,0,0,0,1,0,0,1,0,0,1,1,2,12,552,0,0,103176,24,17,6,0
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,6,11,1406,0,,103196,38,17,6,0
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,3,10,552,4000,1,103209,24,19,6,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,,1,5,10,930,1500,0,103221,31,18,6,0
1,0,0,1,1,0,,,1,0,1,0,0,0,0,1,,0,4,11,992,,0,103224,32,18,6,1
1,0,0,1,1,0,,,1,0,1,0,0,0,0,0,1,1,2,11,870,0,0,103225,30,18,6,0
,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,2,11,650,431,1,103226,26,18,6,1
